antecedents,consequents,support,confidence,lift
"co=low, o3=low, pm10=low, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low, wind_speed=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, pm10=low, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low, wind_speed=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low, wind_speed=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low, wind_speed=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, wind_speed=med","no2=low, o3=low, pm2_5=low",0.25,1.0,4.0
"co=low, o3=low, pm10=low","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low","no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low, wind_speed=med","co=low, o3=low, pm2_5=low",0.25,1.0,4.0
"no2=low, o3=low, pm10=low","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low","co=low, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low, wind_speed=med","no2=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","no2=low, o3=low, pm10=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low","no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low, wind_speed=med","co=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, o3=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low","co=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low, pm10=low, precip=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low, precip=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, pm10=low, precip=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low, precip=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low, precip=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low, precip=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, o3=low, pm10=low","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med","no2=low, o3=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low","no2=low, o3=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low, pm10=low","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low, precip=med","co=low, o3=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low","co=low, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, precip=med","no2=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low","no2=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","no2=low, o3=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, precip=med","co=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low","co=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, o3=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, humidity=med, pm10=low, temp=med","no2=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low, temp=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, temp=med","no2=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, temp=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, temp=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, temp=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm10=low","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","humidity=med, no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, humidity=med, pm10=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, pm10=low, temp=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low","humidity=med, no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, humidity=med, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, pm10=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low, temp=med, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, temp=med, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med, wind_speed=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med, wind_speed=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, temp=med","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low, temp=med","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, wind_speed=med","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low, wind_speed=med","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","no2=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low","no2=low, pm2_5=low, temp=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, pm2_5=low, temp=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, pm10=low, temp=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, pm10=low, temp=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med, temp=med","no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, precip=med, temp=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med, temp=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med, temp=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, temp=med","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low, temp=med","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low, precip=med","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","no2=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","no2=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low","no2=low, pm2_5=low, precip=med, temp=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, pm2_5=low, precip=med, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, pm10=low, precip=med, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, pm10=low, precip=med, temp=med",0.25,1.0,4.0
"co=low, humidity=med, pm10=low, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, wind_speed=med","no2=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, wind_speed=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, humidity=med, pm10=low","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, wind_speed=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, wind_speed=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","humidity=med, no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, humidity=med, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","humidity=med, no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, humidity=med, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, humidity=med, pm10=low, precip=med","no2=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low, precip=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, precip=med","no2=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, precip=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, humidity=med, pm10=low","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, precip=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, pm10=low, precip=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","humidity=med, no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, humidity=med, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","humidity=med, no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, humidity=med, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, pm10=low, precip=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, precip=med, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med, wind_speed=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med, wind_speed=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, wind_speed=med","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low, wind_speed=med","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low, precip=med","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","no2=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low","no2=low, pm2_5=low, precip=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, pm2_5=low, precip=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, pm10=low, precip=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, pm10=low, precip=med, wind_speed=med",0.25,1.0,4.0
"co=low, humidity=med, o3=low, temp=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, temp=med","no2=low, o3=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low, temp=med","co=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, temp=med","co=low, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, o3=low, temp=med",0.25,1.0,4.0
"humidity=med, no2=low, o3=low","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low, temp=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","humidity=med, no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, temp=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, humidity=med, o3=low",0.25,1.0,4.0
"co=low, o3=low","humidity=med, no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, o3=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, humidity=med, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low, temp=med, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med, wind_speed=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, temp=med, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med, wind_speed=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, temp=med","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low, temp=med","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low, wind_speed=med","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","no2=low, o3=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low, wind_speed=med","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm2_5=low, temp=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, temp=med, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm2_5=low, temp=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, temp=med, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low, precip=med, temp=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med, temp=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, precip=med, temp=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med, temp=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, temp=med","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","no2=low, o3=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low, temp=med","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, precip=med","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","no2=low, o3=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low, precip=med","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm2_5=low, precip=med, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, precip=med, temp=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm2_5=low, precip=med, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, precip=med, temp=med",0.25,1.0,4.0
"co=low, humidity=med, o3=low, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, wind_speed=med","no2=low, o3=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, wind_speed=med","co=low, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"humidity=med, no2=low, o3=low","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low, wind_speed=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","humidity=med, no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, wind_speed=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, humidity=med, o3=low",0.25,1.0,4.0
"co=low, o3=low","humidity=med, no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, humidity=med, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, humidity=med, o3=low, precip=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low, precip=med","no2=low, o3=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low, precip=med","co=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low, precip=med","co=low, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, o3=low, precip=med",0.25,1.0,4.0
"humidity=med, no2=low, o3=low","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, precip=med","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","humidity=med, no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, precip=med","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, humidity=med, o3=low",0.25,1.0,4.0
"co=low, o3=low","humidity=med, no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, o3=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, humidity=med, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, precip=med, wind_speed=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med, wind_speed=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, precip=med, wind_speed=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med, wind_speed=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, wind_speed=med","no2=low, pm2_5=low, precip=med",0.25,1.0,4.0
"co=low, pm2_5=low, wind_speed=med","no2=low, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, precip=med","no2=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low, precip=med","no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low, wind_speed=med","co=low, pm2_5=low, precip=med",0.25,1.0,4.0
"no2=low, pm2_5=low, wind_speed=med","co=low, o3=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low, precip=med","co=low, pm2_5=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low, precip=med","co=low, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm2_5=low, precip=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, precip=med, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm2_5=low, precip=med, wind_speed=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, precip=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm10=high, so2=high, temp=med","o3=high, pm2_5=high",0.25,1.0,4.0
"humidity=med, o3=high, pm10=high, temp=med","pm2_5=high, so2=high",0.25,1.0,4.0
"humidity=med, pm2_5=high, so2=high, temp=med","o3=high, pm10=high",0.25,1.0,4.0
"humidity=med, o3=high, pm2_5=high, temp=med","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high, temp=med","humidity=med, o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high, temp=med","humidity=med, pm2_5=high, so2=high",0.25,1.0,4.0
"humidity=med, pm10=high, so2=high","o3=high, pm2_5=high, temp=med",0.25,1.0,4.0
"humidity=med, o3=high, pm10=high","pm2_5=high, so2=high, temp=med",0.25,1.0,4.0
"pm2_5=high, so2=high, temp=med","humidity=med, o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high, temp=med","humidity=med, pm10=high, so2=high",0.25,1.0,4.0
"humidity=med, pm2_5=high, so2=high","o3=high, pm10=high, temp=med",0.25,1.0,4.0
"humidity=med, o3=high, pm2_5=high","pm10=high, so2=high, temp=med",0.25,1.0,4.0
"pm10=high, so2=high","humidity=med, o3=high, pm2_5=high, temp=med",0.25,1.0,4.0
"o3=high, pm10=high","humidity=med, pm2_5=high, so2=high, temp=med",0.25,1.0,4.0
"pm2_5=high, so2=high","humidity=med, o3=high, pm10=high, temp=med",0.25,1.0,4.0
"o3=high, pm2_5=high","humidity=med, pm10=high, so2=high, temp=med",0.25,1.0,4.0
"pm10=high, so2=high, temp=med, wind_speed=med","o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high, temp=med, wind_speed=med","pm2_5=high, so2=high",0.25,1.0,4.0
"pm2_5=high, so2=high, temp=med, wind_speed=med","o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high, temp=med, wind_speed=med","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high, temp=med","o3=high, pm2_5=high, wind_speed=med",0.25,1.0,4.0
"o3=high, pm10=high, temp=med","pm2_5=high, so2=high, wind_speed=med",0.25,1.0,4.0
"pm10=high, so2=high, wind_speed=med","o3=high, pm2_5=high, temp=med",0.25,1.0,4.0
"o3=high, pm10=high, wind_speed=med","pm2_5=high, so2=high, temp=med",0.25,1.0,4.0
"pm2_5=high, so2=high, temp=med","o3=high, pm10=high, wind_speed=med",0.25,1.0,4.0
"o3=high, pm2_5=high, temp=med","pm10=high, so2=high, wind_speed=med",0.25,1.0,4.0
"pm2_5=high, so2=high, wind_speed=med","o3=high, pm10=high, temp=med",0.25,1.0,4.0
"o3=high, pm2_5=high, wind_speed=med","pm10=high, so2=high, temp=med",0.25,1.0,4.0
"pm10=high, so2=high","o3=high, pm2_5=high, temp=med, wind_speed=med",0.25,1.0,4.0
"o3=high, pm10=high","pm2_5=high, so2=high, temp=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=high, so2=high","o3=high, pm10=high, temp=med, wind_speed=med",0.25,1.0,4.0
"o3=high, pm2_5=high","pm10=high, so2=high, temp=med, wind_speed=med",0.25,1.0,4.0
"pm10=high, precip=med, so2=high, temp=med","o3=high, pm2_5=high",0.25,1.0,4.0
"o3=high, pm10=high, precip=med, temp=med","pm2_5=high, so2=high",0.25,1.0,4.0
"pm2_5=high, precip=med, so2=high, temp=med","o3=high, pm10=high",0.25,1.0,4.0
"o3=high, pm2_5=high, precip=med, temp=med","pm10=high, so2=high",0.25,1.0,4.0
"pm10=high, so2=high, temp=med","o3=high, pm2_5=high, precip=med",0.25,1.0,4.0
"o3=high, pm10=high, temp=med","pm2_5=high, precip=med, so2=high",0.25,1.0,4.0
"pm10=high, precip=med, so2=high","o3=high, pm2_5=high, temp=med",0.25,1.0,4.0
"o3=high, pm10=high, precip=med","pm2_5=high, so2=high, temp=med",0.25,1.0,4.0
"pm2_5=high, so2=high, temp=med","o3=high, pm10=high, precip=med",0.25,1.0,4.0
"o3=high, pm2_5=high, temp=med","pm10=high, precip=med, so2=high",0.25,1.0,4.0
"pm2_5=high, precip=med, so2=high","o3=high, pm10=high, temp=med",0.25,1.0,4.0
"o3=high, pm2_5=high, precip=med","pm10=high, so2=high, temp=med",0.25,1.0,4.0
"pm10=high, so2=high","o3=high, pm2_5=high, precip=med, temp=med",0.25,1.0,4.0
"o3=high, pm10=high","pm2_5=high, precip=med, so2=high, temp=med",0.25,1.0,4.0
"pm2_5=high, so2=high","o3=high, pm10=high, precip=med, temp=med",0.25,1.0,4.0
"o3=high, pm2_5=high","pm10=high, precip=med, so2=high, temp=med",0.25,1.0,4.0
"humidity=med, pm10=high, so2=high, wind_speed=med","o3=high, pm2_5=high",0.25,1.0,4.0
"humidity=med, o3=high, pm10=high, wind_speed=med","pm2_5=high, so2=high",0.25,1.0,4.0
"humidity=med, pm2_5=high, so2=high, wind_speed=med","o3=high, pm10=high",0.25,1.0,4.0
"humidity=med, o3=high, pm2_5=high, wind_speed=med","pm10=high, so2=high",0.25,1.0,4.0
"humidity=med, pm10=high, so2=high","o3=high, pm2_5=high, wind_speed=med",0.25,1.0,4.0
